racerId,driverId,predicted_final_position
1040,20,6.91
1052,839,20.18
1046,8,2.32
1012,826,17.67
1080,1,16.14
1093,4,16.67
1000,830,16.26
1051,841,25.9
1039,848,13.05
1026,815,12.68
1106,839,17.41
1014,822,18.5
1045,832,17.64
1011,840,15.92
1039,817,4.45
1044,20,6.81
1065,4,15.8
1105,1,15.45
1041,817,4.82
1004,4,17.45
1014,815,13.12
1078,846,5.98
1035,839,20.54
1102,844,10.47
1016,8,6.21
1035,832,21.25
1005,4,16.85
1070,4,16.94
1013,822,17.39
1007,822,18.38
1024,807,14.34
1001,843,17.08
1080,4,16.85
1024,847,19.9
1106,847,18.25
1098,847,17.58
1002,1,14.16
1101,846,6.17
1007,4,16.04
1014,1,13.16
1036,1,14.42
1025,848,17.31
1083,825,14.17
1060,8,2.76
1079,839,19.18
1072,4,16.44
1099,4,13.76
997,840,15.72
1073,4,16.54
1085,4,16.05
1013,815,16.8
1042,817,4.92
1029,825,12.76
1070,4,16.45
1037,822,15.33
1021,807,16.73
1012,807,17.54
1041,807,16.61
1033,842,11.79
1099,832,16.11
1004,840,15.3
1108,840,14.47
1056,8,3.78
1060,842,11.17
1029,815,14.69
1056,832,16.72
1024,815,14.23
1109,855,12.5
1041,8,4.68
1026,8,3.63
1013,822,17.39
1100,832,18.67
1082,830,12.9
1106,4,16.35
1040,815,16.99
1086,817,4.93
1032,847,22.28
1080,4,15.9
1020,825,14.26
1087,832,15.34
1058,847,21.21
1022,822,16.21
1093,20,14.71
1098,844,11.93
1008,20,14.13
1000,1,14.4
1030,817,5.8
1053,822,21.86
1095,846,6.74
1035,830,13.57
1041,826,15.81
1053,832,19.25
1035,8,2.86
1095,1,16.25
1033,154,14.03
1061,20,6.79
1095,830,12.59
1031,822,18.06
1035,844,13.27
1052,822,20.47
1067,839,19.23
1083,844,9.45
1019,815,15.82
1110,842,12.09
1088,840,13.07
1109,844,8.98
1072,852,15.49
1099,815,15.52
1025,807,14.26
1065,1,16.05
1109,4,15.45
1056,822,20.1
1033,825,12.5
1029,822,20.15
1091,839,18.04
1072,839,15.83
1021,822,19.55
1055,822,20.03
1028,8,2.74
1025,815,13.81
1080,854,20.22
1098,840,14.22
1063,846,6.45
1110,807,15.01
1064,1,15.96
1100,815,15.9
1038,8,2.45
1075,1,19.48
1106,846,5.68
1102,807,16.16
1093,854,16.78
1019,815,14.23
1034,817,3.11
1011,832,18.15
1100,855,15.67
1008,825,13.94
1009,832,17.77
1085,815,16.53
1029,815,14.69
1011,1,13.16
1094,830,13.11
1083,825,14.17
1057,822,21.38
1024,817,5.46
1022,1,14.84
1056,853,7.82
1002,8,6.47
1055,840,17.15
1047,20,7.0
1056,817,7.19
1107,846,6.66
1006,817,6.12
1076,822,25.18
1053,839,14.89
1033,825,16.42
1034,822,21.63
1064,817,4.87
1029,1,15.73
1028,815,13.65
1073,4,16.54
1073,815,14.15
1010,1,14.92
1035,842,10.73
1004,842,13.67
1069,20,6.0
1038,822,17.35
1031,8,2.6
998,4,17.32
1011,154,18.12
1020,154,13.76
1009,838,6.1
1052,847,21.6
1071,8,4.54
1056,846,5.96
1076,4,16.54
1087,822,20.99
1069,8,4.49
1057,1,15.33
1072,840,12.65
1017,848,17.21
1101,846,6.17
1081,847,16.05
1086,815,14.07
1089,815,10.95
1017,822,16.16
1001,1,14.8
1102,846,6.18
1099,822,26.02
1065,817,6.72
1057,822,21.38
1062,8,2.19
1051,1,14.23
998,815,14.24
1073,815,14.15
1047,844,15.76
1063,20,6.13
1024,817,5.46
1016,8,8.85
1013,842,7.21
1083,832,14.61
1037,847,23.27
1040,847,20.21
1055,832,15.93
1043,839,19.05
1069,1,15.79
1083,825,14.17
1042,842,8.21
1107,4,16.42
1020,822,20.49
1093,842,12.53
1056,830,13.34
1083,20,6.24
1007,822,18.38
1053,822,21.86
1107,825,11.31
1019,817,3.59
1071,20,6.73
1063,20,6.13
1025,830,15.76
1074,852,15.87
1043,20,9.26
1051,817,8.3
1029,826,14.99
1064,849,3.5
1032,822,21.23
1013,844,12.9
1081,839,19.79
1039,1,13.38
1091,815,16.03
1024,830,15.92
1105,822,22.42
1082,840,14.21
1099,842,9.91
1105,1,15.45
1080,840,13.46
1008,154,11.36
1016,20,9.07
1101,846,6.17
1080,844,9.15
1051,1,14.23
1064,815,13.92
1075,1,19.48
1014,807,14.5
1020,815,13.67
1057,842,4.18
1110,830,10.97
1106,842,12.34
1091,20,5.98
1074,817,5.29
1095,822,20.38
1036,8,7.15
1027,8,5.91
1058,8,2.29
1052,8,2.22
1086,4,15.02
1017,832,16.38
1015,154,13.67
1017,817,5.01
1070,1,16.25
1065,817,6.72
1057,817,5.63
1032,1,13.64
1056,8,3.78
1076,815,16.21
1028,20,7.17
1005,839,18.8
1056,815,13.46
1036,8,2.3
1064,20,6.85
1000,840,15.5
999,1,17.6
1071,4,16.89
1033,839,20.41
1030,846,6.82
1054,20,6.72
1094,822,20.27
1014,807,14.37
1038,826,15.66
1016,830,16.81
1026,1,15.63
1012,8,2.47
1011,1,13.16
1019,825,16.84
1003,4,16.76
1000,825,16.46
1094,848,17.15
1001,815,16.23
1020,815,15.17
998,20,5.61
1005,832,17.81
1010,848,17.91
1065,844,9.58
1033,1,13.79
1055,4,16.64
1045,849,2.12
1057,830,14.36
1011,840,15.92
1011,832,18.15
1059,852,18.5
1100,832,18.67
1063,852,17.05
1026,815,12.68
1052,852,16.4
1047,817,4.08
1004,822,16.43
999,815,13.57
1000,8,5.99
1086,4,13.73
1004,4,16.98
1032,815,11.41
1089,840,15.92
1025,840,13.12
1002,807,18.26
1044,20,4.37
1107,1,16.55
1020,8,3.03
1019,1,13.71
1099,4,15.69
1077,839,20.1
1071,830,17.37
1019,832,19.71
1028,8,2.74
1063,847,14.47
1033,20,4.6
1071,854,17.11
1060,4,16.87
1091,822,20.62
1072,4,21.34
1108,822,21.62
1044,1,15.2
1101,852,15.69
1061,4,16.32
1043,842,7.85
1055,841,29.56
1091,20,5.98
1084,1,19.09
1007,8,6.43
1089,842,9.78
1106,815,13.71
1070,852,16.57
1063,8,5.68
1016,815,13.31
1105,847,20.22
1007,20,5.71
1067,822,14.46
1041,154,13.63
1020,154,16.21
1036,825,17.31
1057,839,18.39
1024,807,14.71
1034,841,30.31
1107,4,12.48
1059,8,3.43
1003,825,16.09
1010,822,17.67
1064,815,13.92
1078,4,16.35
1011,830,14.77
1013,846,6.26
1052,1,13.81
1033,832,18.29
1013,1,15.03
1053,815,12.16
1091,1,14.41
1079,4,16.23
1072,839,15.83
1074,4,16.55
1040,822,14.42
1033,1,13.79
1077,815,16.43
1030,807,15.19
1007,4,15.74
1033,844,14.33
1099,1,16.25
1043,815,13.57
1005,807,16.8
1045,815,16.08
1031,832,18.39
1041,822,20.2
1085,825,16.54
1008,4,16.74
1039,815,15.19
1095,1,12.18
1077,4,21.59
1061,822,16.93
1016,20,5.56
1057,842,4.18
1026,9,40.71
1011,20,6.05
1072,849,3.81
1033,1,13.79
997,817,4.86
1046,822,20.08
1031,832,18.39
1063,822,21.98
1009,839,17.37
1055,846,5.9
1016,826,17.26
1106,1,14.35
1006,842,13.49
1016,154,13.68
1039,8,2.89
1102,815,15.48
1093,4,16.67
1086,848,17.27
1076,20,12.81
1013,8,3.68
1005,8,7.33
1104,815,13.42
1094,832,18.77
1007,1,15.72
1037,832,14.74
1084,832,18.4
1083,830,12.34
1091,830,11.89
1096,20,5.66
1079,1,16.47
1109,842,12.98
1082,852,16.26
1017,840,15.04
1072,847,20.65
1002,840,15.47
1019,20,6.72
1069,4,15.65
1108,1,16.16
1028,817,5.42
1070,8,4.77
1005,842,11.81
1014,825,14.73
1015,840,16.19
1025,846,6.23
1026,841,25.91
1034,848,16.25
1046,839,19.29
1083,840,14.02
1012,840,16.58
1080,4,13.17
1105,856,17.21
1007,828,5.59
1038,847,21.77
1093,852,16.58
1072,844,9.3
1001,825,14.72
1031,154,13.44
1008,815,14.11
1014,20,5.57
1060,817,4.43
1073,20,7.33
1058,8,2.29
1066,847,16.77
1056,817,7.19
1051,822,20.96
1065,9,25.92
1058,815,16.5
1067,846,5.7
1109,825,16.32
1071,20,6.73
1099,825,16.86
1052,830,16.36
1042,20,5.63
1022,841,26.19
1070,8,2.92
1063,4,13.46
1006,832,16.89
1043,841,27.47
1092,842,13.86
1034,839,17.06
1039,1,13.38
1064,844,11.69
999,154,13.38
1078,1,13.89
1035,826,17.41
1094,822,20.27
1011,815,13.4
1065,1,16.05
1059,822,15.42
1020,8,4.93
1094,830,13.11
1008,825,13.94
1084,842,13.16
1047,8,3.18
1019,841,28.25
1016,842,10.17
1054,830,15.72
1094,20,14.91
1054,842,11.95
1082,4,13.68
1003,844,15.52
1023,1,15.01
1023,815,10.2
1012,822,20.49
1085,817,4.95
1021,20,4.64
1071,830,17.37
1030,20,6.39
1017,832,16.38
1067,842,5.22
1070,822,20.87
1076,1,15.03
1066,20,15.9
1040,1,17.23
1023,20,6.8
1094,844,10.44
1041,839,18.59
1058,842,10.74
1035,807,15.01
1069,844,9.42
1109,4,15.45
1042,815,15.83
1019,9,26.65
1085,854,18.24
1023,840,15.51
1058,840,15.75
1020,841,26.64
1053,847,22.84
1005,830,15.51
998,4,17.32
1082,1,14.97
1030,815,13.27
1100,4,16.79
1088,20,7.02
1108,807,16.27
1030,825,16.23
1075,817,5.37
1087,1,14.94
1079,849,2.21
1079,840,15.51
1092,839,16.11
1110,817,5.25
1093,848,13.99
1094,840,16.3
1106,844,13.91
1051,830,17.25
1094,839,19.24
1105,848,17.71
1088,815,17.14
1002,8,6.47
998,830,17.33
1075,817,5.37
1098,822,24.44
1110,842,12.09
1019,844,9.27
1085,839,19.96
1107,848,16.11
997,1,15.3
1071,840,15.59
1029,20,4.47
1104,4,16.27
1015,1,13.3
1015,154,13.67
1020,822,20.49
1078,815,17.19
1038,839,19.7
1014,830,14.56
1025,1,14.36
1085,815,16.53
1023,807,14.53
1109,1,15.36
1006,822,17.14
1089,847,16.19
1020,1,14.41
1101,848,15.34
1107,4,16.42
997,842,12.93
1040,20,6.91
1107,832,15.6
1027,822,18.71
1058,8,2.29
1096,20,5.66
1060,1,14.99
1100,839,19.61
1064,830,15.39
1092,842,13.86
1037,20,7.08
1060,840,15.86
1051,830,17.25
1046,842,12.7
1021,20,4.64
1091,832,17.29
1089,4,15.72
1030,832,17.54
1102,852,16.29
1036,20,4.94
1076,848,16.92
1071,4,16.94
1024,1,15.65
1041,20,6.12
1054,4,17.09
1075,847,18.69
998,154,12.43
1018,842,11.91
1104,807,17.26
1056,840,16.86
1021,9,25.1
1072,1,14.71
1077,4,15.64
1066,815,13.83
1063,847,14.47
1081,815,16.12
1000,844,15.49
1055,817,4.17
1026,846,6.27
1109,1,15.36
1012,822,20.49
1010,832,23.57
1063,846,6.45
1083,815,16.53
1069,4,16.6
1055,815,12.06
1108,847,16.6
1091,849,2.77
1020,846,6.29
1040,844,14.19
1096,20,5.66
1080,846,6.41
1082,4,13.63
1045,8,2.93
1088,846,5.66
1073,842,8.5
1059,844,14.43
1021,8,3.53
999,8,5.76
999,20,8.21
1009,817,6.98
1054,815,17.35
1063,830,14.88
1046,20,9.34
1059,4,17.13
1054,830,15.72
1006,828,6.07
1000,4,20.19
1075,842,10.81
1031,20,6.85
1078,815,17.19
1066,854,16.66
1034,817,3.11
1063,4,12.2
1069,20,6.0
1025,832,17.87
1008,20,7.05
997,817,4.86
1046,20,1.74
1025,826,16.78
1015,825,11.59
1083,4,16.2
1018,807,16.97
1063,832,19.34
1082,817,4.76
1009,807,16.52
1038,8,2.45
1026,154,11.98
1000,832,17.84
1060,4,16.03
1088,830,13.16
1028,1,16.33
1055,832,15.93
1074,844,9.03
1027,1,11.72
1082,20,9.01
1057,832,16.8
1019,817,3.59
1092,4,15.64
1058,817,5.18
1007,8,6.43
1085,4,16.05
1069,839,17.08
1036,830,15.56
1062,832,17.81
1023,840,15.52
1076,815,16.21
1056,817,7.19
1034,8,2.3
1015,1,15.82
1057,839,18.39
1046,826,12.95
1045,844,15.48
1007,4,16.32
1099,825,16.86
1071,8,4.54
1077,832,15.05
1102,847,15.79
1081,1,14.13
1043,846,5.86
1033,1,12.43
1077,839,20.1
1000,1,14.4
1041,817,4.82
1029,842,7.92
1031,822,18.06
1075,1,19.48
1032,830,14.99
1032,839,18.48
1027,1,14.81
1093,852,16.58
999,830,16.33
1044,8,2.76
998,828,6.89
1076,848,16.92
1101,847,22.17
1096,817,5.7
1098,832,16.25
1010,20,5.75
1044,830,16.38
1036,8,3.57
1080,815,16.61
1042,822,16.59
1009,815,13.44
1044,154,13.72
1005,1,14.16
1094,1,16.24
1080,815,16.61
1087,854,18.9
998,830,17.33
1037,20,7.08
1014,20,5.57
1102,852,16.29
1020,830,14.94
1043,840,14.12
1021,154,12.46
1107,4,16.42
1054,815,17.35
1064,847,19.94
1020,8,4.57
1091,846,6.95
1053,822,21.86
1017,1,12.98
1002,832,19.37
1055,8,3.74
1043,839,19.05
1047,8,3.18
1003,4,16.76
1075,4,11.87
1069,832,17.7
1004,815,14.3
1021,20,4.64
1002,1,14.16
1005,20,5.39
1011,154,13.23
1024,842,12.14
1104,842,10.28
1025,825,13.84
1025,154,11.96
1069,1,15.79
1055,847,22.03
1087,847,15.3
1072,817,6.1
1006,1,15.08
1101,839,36.76
1079,817,6.5
1035,840,13.28
1056,842,9.87
1084,20,2.17
1008,817,5.6
1082,822,21.62
1098,839,17.06
1015,20,4.37
1011,826,17.05
1045,8,2.93
1009,822,17.12
1030,1,14.46
1042,842,8.21
1070,846,6.57
1021,20,4.64
1060,8,4.71
1100,4,16.79
1062,842,4.22
1022,807,16.15
1043,20,5.95
1058,854,20.08
1087,825,17.72
1011,1,13.16
1037,822,15.33
1015,848,15.12
1004,832,17.33
1039,830,15.6
1042,1,14.19
1083,817,5.72
1104,852,16.31
1053,817,4.9
1083,852,15.4
1110,840,15.13
1085,825,16.54
1040,847,20.21
1109,842,12.98
1057,8,3.02
1073,4,16.54
1032,815,11.41
1077,815,16.43
1015,848,15.12
1012,840,16.58
1018,20,4.87
1004,840,15.19
1080,840,13.46
1073,841,26.38
1110,839,20.09
1043,832,18.31
1037,830,13.55
1017,20,5.59
1096,830,12.46
1051,817,8.3
1021,817,5.35
1066,8,2.55
1006,20,6.35
1002,4,13.43
1106,832,20.67
1082,825,12.01
1064,841,31.01
1101,848,15.34
1089,840,15.92
1076,822,25.18
1085,817,4.95
1045,848,13.13
1096,830,12.46
1029,844,16.03
1058,847,21.21
1054,842,11.95
1029,20,7.08
1071,4,16.94
1081,4,20.21
1081,849,2.26
1000,817,4.37
1046,832,17.13
1071,840,15.59
1017,847,19.97
1096,830,12.46
1006,8,6.14
1029,825,12.76
1025,8,2.3
1107,825,11.31
1012,815,12.2
1101,832,17.76
1061,8,2.75
1067,20,6.76
1078,1,15.43
1016,815,13.31
1042,826,17.56
1006,817,7.35
1028,8,8.66
1045,8,6.1
1015,832,17.11
